BREED	COUNTRY	IDNO	CODENO	REGNAME	ACTIVE	CODENAME	DOB	SREGNAME	REL_NM	PL	REL_PL	SCS	REL_SCS	MILK	FAT_P	FAT	STATUS	TDATE	TSOURCE	TDTRS	THRDS	PTAT	TREL	UDC	FLC	BDC	DC	BLACK_PCT	LDTRS	LHRDS	STAT	STR	BD	DF	RA	THURLW	RLS	RLR	FA	FLS	FUA	RUH	RUW	UC	UD	FTP	RTP	TEATL	CEDATE	SCE	PRELIM	SCE_OBS	SCE_REL	DCE	DCE_OBS	DCE_REL	SSB_OBS	SSB_HERDS	SSB_REL	SSB_PCT	SSB_SOURCE	SSB_OFF	DSB_OBS	DSB_DTRS	DSB_HERDS	DSB_REL	DSB_PCT	DSB_SOURCE	DSB_OFF	MS	REL_MS	DIS	AAA	DMS	SCR	SERV_SCR	REL_SCR	SIRE	EVALDATE	RHAIND	HBSTATUS	SBREED	SCOUNTRY	SIDNO	DBREED	DCOUNTRY	DIDNO	MGSBREED	MGSCOUNTRY	MGSIDNO	OBREED	OCOUNTRY	OIDNO	NAABCODE2	NAABCODE3	NAABCODE4	BREED_EVAL	FTI	FUI	NM_PCTILE	PCT_US	SCE_SOURCE	DCE_SOURCE	FI	FE
HO	840	003005567619	614HO06256	"RED-OAK-DB PLANET SILVER-TW"	0	SILVER	2009-01-13	"ENSENADA TABOO PLANET-ET"	93	4.4	89	2.82	93	26651	3.9	1034	P	2016-04-05	GUSA	110	55	0.12	92	0.16	-0.15	-0.08	-0.3	20	111	55	-0.33	0.27	-0.36	-0.6	0.79	0.7	0.07	-0.21	-0.28	-0.08	-0.02	0.28	0.26	0.28	0.25	0.42	0.29	-1.38	2016-04-05	6.9	NULL	521	93	6.8	330	82	349	106	81	7.8	G	G	223	119	56	77	8.3	G	Y	NULL	NULL	NULL	315	345,456	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000060597003	HO	USA	000136138369	HO	USA	000122358313	HO	840	003004518100	614HO06256	"          "	"          "	HO	NULL	NULL	58	100	G	G	0.7	73
JE	USA	000067284214	614JE00566	"DUTCH HOLLOW DALTON-P-ET"	1	"DALTON-P       "	2010-04-14	"MAACK DAIRY ECLIPES-P-ET      "	89	-0.1	82	3.07	87	20113	4.7	937	I	2016-04-05	GUSA	64	34	0.5	89	5.2	0	NULL	NULL	NULL	64	34	0.5	0	0	1.1	1.6	-0.1	0.6	0	-1.4	NULL	-0.2	1.1	0.8	0.7	-0.1	0.5	NULL	-0.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	432	234	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000114845461	JE	USA	000113012592	JE	USA	000000663940	"  "	"   "	"            "	614JE00566	"          "	"          "	JE	4.29	0.76	22	100	NULL	NULL	NULL	NULL
HO	USA	000066024241	7HO10895	"PINE-TREE BURT BANCO-ET"	0	BANCO	2009-07-22	"LUTZ-BROOKVIEW BURT-ET"	92	0.8	88	2.73	92	26148	3.9	1020	A	2016-04-05	GUSA	114	56	0.79	92	0.19	1.43	-0.01	0.79	5	115	56	-0.12	0.06	0.49	0.93	-0.92	-0.42	-1.75	1.29	1.32	1.49	-0.55	0.54	0.5	0.95	0.02	1.7	1.68	-0.38	2016-04-05	7.2	NULL	1279	97	7.9	251	81	876	151	90	8.1	G	G	193	121	54	78	6.6	G	Y	NULL	NULL	NULL	321546	"561,456 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000129901651	HO	USA	000061996241	HO	USA	000120745603	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	48	100	G	G	-1.5	93
AY	840	003013185216	507AY00112	"MR SHARWARDS ROCKSTAR KARL"	0	KARL	2014-03-01	"KAMOURASKA ROCKSTAR"	39	0.1	35	2.79	38	NULL	NULL	NULL	G	2016-04-05	GUSA	0	0	0.8	38	0	0	NULL	NULL	NULL	0	0	0.7	0.6	0.2	0.2	-0.3	0.5	-0.3	0	0.3	NULL	1.1	0.7	0.2	0.8	0.7	1.3	NULL	0.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	423	NULL	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	AY	CAN	000104347733	AY	USA	000100515880	AY	CAN	000010310847	"  "	"   "	"            "	"          "	"          "	"          "	AY	NULL	NULL	80	100	NULL	NULL	NULL	NULL
HO	USA	000063260518	14HO06087	"KELLERCREST NIFTY LEGACY"	0	"LEGACY         "	2008-04-17	"HONEYCREST BOMBAY NIFTY-ET    "	92	6.2	89	2.67	93	27663	3.7	1013	I	2016-04-05	GUSA	113	70	-0.96	93	-1.1	-0.21	-0.68	-1.39	90	113	70	-0.43	-0.68	-1.08	-1.32	0.25	-1.32	1.41	0.15	-0.24	-0.15	-1.37	-2.67	-2.46	-0.77	0.21	-0.77	-0.76	0.5	2016-04-05	8.9	NULL	390	91	7.8	307	81	371	126	82	7.8	G	G	312	152	77	81	5.6	G	Y	NULL	NULL	NULL	234	"234,345 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000132135971	HO	USA	000062833218	HO	GBR	000000598172	HO	840	003004222384	614HO06087	"          "	"          "	HO	NULL	NULL	67	100	G	G	3.7	65
HO	USA	000052760801	614HO05075	"ORBE-VIEW S STRM HVEZDA-ET"	0	"HVEZDA*RC      "	2004-11-26	"PURSUIT SEPTEMBER STORM-ET"	97	-4.9	96	2.91	98	25883	3.7	962	I	2016-04-05	GUSA	1913	1131	1.92	98	0.82	1.8	3	2.63	70	1930	1138	3.75	2.11	2.47	2.43	0.35	2.29	-1.1	2.65	1.34	1.81	0.2	1.78	1.64	1.39	0.71	-0.17	0.15	2.46	2016-04-05	11.6	NULL	6911	98	9.6	1027	94	6717	2033	94	9	G	G	967	2164	1237	93	8.2	G	Y	NULL	NULL	NULL	132456	"123,126 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	CAN	000006820564	HO	USA	000131228496	HO	USA	000002250783	"  "	"   "	"            "	14WW05075	"          "	"          "	HO	NULL	NULL	02	40	G	G	-1.7	-29
JE	USA	000117347328	614JE00600	"SUNSET CANYON DECOY-ET"	0	"DECOY               "	2010-11-13	"ALL LYNNS LOUIE VALENTINO-ET"	92	5.9	83	2.87	93	22390	4.4	989	A	2016-04-05	GUSA	156	56	1.6	94	14.4	0	NULL	NULL	NULL	156	56	-0.2	-0.1	0	1.6	0.5	-0.1	0	0	0.2	NULL	1.2	2	1.6	0.3	-0.1	1.8	NULL	-1.4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	261345	135	0.4	1469	85	NULL	2016-04-05	"  "	HR	JE	USA	000116279413	JE	USA	000116341888	JE	USA	000113008443	"  "	"   "	"            "	147JE06203	"          "	"          "	JE	14.43	5.85	82	100	NULL	NULL	NULL	NULL
HO	USA	000069128164	614HO06677	"ROYLANE CHAMP VAL 4246-ET"	1	VAL	2010-06-22	"ROYLANE CHAMPION CHAMP-ET"	95	5.7	89	2.85	97	29292	3.9	1155	A	2016-04-05	GUSA	281	103	0.17	96	0.45	-0.6	-0.87	-0.14	25	281	103	-0.9	-1.22	-0.95	0.98	0.36	0.32	0.95	-0.38	-1.2	-0.35	0.3	1.01	0.93	0.44	0.1	1.35	1.23	-0.91	2016-04-05	5.5	NULL	3534	99	5.6	624	90	2949	268	96	6.1	G	G	573	493	121	91	5.5	G	Y	NULL	NULL	NULL	342	"456,345 "	1.5	4561	95	NULL	2016-04-05	NA	**	HO	USA	000135056079	HO	USA	000062115945	HO	USA	000122358313	HO	840	003006266036	614HO06677	"          "	"          "	HO	NULL	NULL	96	100	G	G	1.1	151
JE	USA	000117360389	14JE00573	"SUN VALLEY RENEGADE A-TEAM"	1	"A-TEAM         "	2010-07-31	"BW RENEGADE-ET"	87	2	78	3.01	85	21539	4.8	1029	A	2016-04-05	GUSA	55	26	0.6	87	3.2	0	NULL	NULL	NULL	55	26	1.2	0.1	0	0.4	0.4	0	0.3	0	1	NULL	0.8	1	0.8	-0.4	-0.1	0.2	NULL	0.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	234	234	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000115883929	JE	USA	000116194749	JE	USA	000112785428	"  "	"   "	"            "	"          "	"          "	"          "	JE	2.63	1.8	62	100	NULL	NULL	NULL	NULL
HO	USA	000066216785	7HO10928	"OAKLEIGH CHRIS HOLID-RED-ET"	0	HOLID-RED	2009-12-07	"MD-VALLEYVUE GOLD CHRIS-ET"	93	0.1	88	2.78	94	26537	3.8	1007	I	2016-04-05	GUSA	191	128	1.03	95	0.56	0.46	0.66	1.42	0	191	128	0.55	0.62	1	1.38	-1.6	0.84	0.54	0.73	0.57	0.45	0.83	1.16	1.07	0.88	0.37	-0.47	-0.05	2.13	2016-04-05	8.9	NULL	647	94	8.2	265	84	615	201	85	9.4	G	G	247	181	108	82	6.8	G	Y	NULL	NULL	NULL	132	"135,345 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000137302783	HO	USA	000062733010	WW	DEU	000578720303	"  "	"   "	"            "	7WW10928	"          "	"          "	HO	NULL	NULL	17	100	G	G	0.1	3
